Feature_0,Feature_1,Feature_2,Feature_3
-3.078398974164286983e-02,-8.010147851852567058e-02,4.640428483897913181e-01,-1.523617341599519115e-01
-4.603065765176497792e-01,1.287397387991815467e-01,-3.950516992554222728e-01,2.079859928839587480e-01
-4.206877869890323640e-01,-1.242057888638231633e-02,-2.025836924005105510e-01,-3.765600294404253257e-02
-5.009997332999561737e-01,-4.652442617295414751e-01,2.615819299265239595e-01,-2.500851040777867795e-01
-1.416578342400975909e-02,2.709416902898954538e-01,5.989899175292778821e-02,-9.880785475728470768e-02
-3.228383034305656318e-01,1.739784029493985362e-01,2.178175285662067862e-01,-2.089561282239585371e-01
9.057037904595821587e-02,4.384459308530385679e-01,-8.815947256133682686e-02,2.587336466714958982e-01
2.079068188132964790e-01,4.852170834783709474e-01,8.701887144467534974e-02,-4.265041135481773549e-01
-2.830948049596555549e-01,2.022885877288345124e-01,2.129925596415640499e-01,-3.777008057361305182e-01
4.553418144974950010e-01,-1.153459753006749189e-01,-3.218797868728264233e-01,3.438946935726299725e-01
-1.954059622770325522e-01,2.867601563269644993e-01,-2.701055847422904610e-01,4.278469099024710398e-01
3.425779393676552376e-01,-2.756423242995198475e-01,-1.418953407469268901e-01,8.220030679754847247e-02
-2.682053131958536119e-01,-5.806226923069777168e-01,3.043513076093161684e-01,-3.988177138804903099e-01
3.433276667300432239e-01,-4.078305668786984528e-01,-3.594933765954871907e-01,4.509364763004622967e-01
3.708516461303429934e-01,7.913878026428589063e-02,1.609239148974567213e-01,3.483026743883638199e-02
6.040685673671548628e-01,1.962552058387745380e-01,-3.540358740325982856e-02,-1.516889231743038247e-01
2.837155258313623918e-01,-2.933868258419248809e-01,1.659545812504120699e-02,-2.922094796361454083e-01
3.084839532117208405e-01,-2.155824904207264692e-01,-3.159522578263648240e-01,2.219997966242226450e-02
4.018272545538555396e-01,2.682615304352941044e-01,1.954452189709656729e-01,2.332696808876481565e-01
4.238761814334724431e-01,2.563645194122845528e-01,1.409262040915887360e-01,-1.131485086576481391e-01
1.137398694062209947e-01,2.691269257410606186e-01,-1.252281325784009858e-01,6.567747199801508007e-01
6.890675166081550174e-03,-1.670768663103773255e-01,6.098919934094644280e-01,-1.116787676994790424e-01
-2.040569780609252648e-01,2.987777062021579333e-03,4.734326929918186710e-02,-1.652828774660901612e-01
7.954022941504140798e-02,1.971689286511500439e-01,1.433251686152707816e-01,2.979109492731935038e-01
-1.998663244437762776e-01,3.047104147697680676e-01,-1.072069441569047932e-01,-2.633348217784511336e-01
-4.429709524611748495e-01,7.364449135812684011e-02,4.265254985220412465e-02,-1.571098170753348344e-01
4.225898335890287960e-01,-3.975707964395490679e-01,4.599038898143287812e-01,9.943072601702285240e-02
-2.461554099253864814e-01,-1.759581112181543561e-01,-1.306655468380352181e-01,-5.633362241046380170e-01
5.243988075926725445e-02,2.181958690935225098e-01,2.925695633832274822e-01,3.428600748805168408e-01
9.930034116355734852e-02,-6.875446395393941534e-02,4.409015374553608702e-01,4.623569090885543131e-02
-2.107319927983742902e-01,-1.298372765674614682e-01,-3.259060781787524452e-01,-2.402160407478303172e-01
1.409822688189962259e-01,-2.668578485509232046e-02,-3.363407502056822151e-01,2.735337613943964463e-01
2.492463572993476872e-01,-1.103507197452735511e-02,-1.914844886220319897e-01,3.756133795632676797e-02
1.438835226197651140e-01,6.172188418038698776e-01,-3.247555235743356250e-01,5.044240960736952051e-01
-3.465595671363970176e-01,-4.699060104724166465e-01,1.050147968880458804e-01,-2.975193878293344030e-01
-7.509169290477041292e-02,5.039045193198581352e-01,3.435230804679600958e-02,-1.094313247258649757e-01
-4.258312679152755353e-01,-3.033714092320983768e-01,-4.890486306900665436e-02,-3.526272717119802724e-01
5.881966030571111892e-01,-5.689863726653306975e-01,-4.207399578385243588e-01,6.354927305321110831e-01
5.394417595429843448e-01,-2.657193562058739467e-01,1.584898160419109248e-01,1.034589144508050729e-01
-4.864194921940944161e-01,-1.163187806077665698e-01,-2.594741814908758659e-01,2.768291018779694967e-01
-2.777506323371780050e-01,2.513528582209655360e-01,-3.763130009183194291e-01,2.114933820004562537e-01
-6.728073377616961004e-02,-5.555223051561267722e-01,-4.117644118286145627e-01,1.598799721619627023e-01
3.704490317373878017e-01,2.713816159981604081e-01,2.698007856404004978e-01,5.791593696907366695e-01
6.748531902730978693e-01,8.089427233756635305e-02,1.809707833533365506e-01,8.628456645844428952e-02
3.551687331910102774e-02,-3.270532080939340114e-01,5.471762458699744869e-01,2.493575949216967902e-01
1.108490902748258122e-01,-1.043574434872074352e-01,1.255191966169554307e-01,2.532604149878150968e-01
2.800166654024522361e-01,-1.930987838135222456e-01,-1.768469787227677781e-01,6.580395699179917290e-01
2.009276864017928710e-01,-3.973273193975140893e-02,5.204208473619170716e-01,5.495720518653360864e-01
4.197453868149157441e-01,4.045973632578407919e-01,-2.599915068995222733e-01,2.163587477248711255e-01
-2.432287334674643198e-02,1.624179519022486140e-01,6.016248582714878168e-01,1.774561330778907653e-01
-2.100704886725215381e-01,-5.787592670783381354e-01,2.640881490928874697e-01,-2.540174195018528591e-01
-4.678028604342613916e-01,3.376299867726029191e-03,-2.316780618224829613e-01,1.434058404154925359e-01
-4.129022263515205182e-01,-1.655526794969911508e-01,9.865175631432687720e-02,4.326218490602795619e-02
1.306187398382131493e-01,3.882367042361486442e-01,7.475430150411810359e-02,-3.509229233667088277e-03
2.027812538131539277e-01,-3.002778471178665365e-01,1.610251512616868164e-01,4.213734228774212442e-01
-8.240561690546055473e-02,-8.641369223699951752e-02,-3.729328429045386528e-03,-3.229838384313699073e-02
